title,pages,year published
Castle Richmond – Anthony Trollope,442,1860
Cat and Mouse – Günter Grass,192,1961
Cat’s Cradle – Kurt Vonnegut,304,1963
Cat’s Eye – Margaret Atwood,480,1988
Catch-22 – Joseph Heller,453,1961
Caught – Henry Green,206,1970
Cause for Alarm – Eric Ambler,304,1938
Cecilia – Fanny Burney,1056,1782
Celestial Harmonies – Péter Esterházy,864,2000
Chaireas and Kallirhoe – Chariton,448,50
Chocky – John Wyndham,160,1967
Choke – Chuck Palahniuk,293,2001
Christ Stopped at Eboli – Carlo Levi,296,1944
Cider With Rosie – Laurie Lee,231,1959
Cigarettes – Harry Mathews,292,1987
City of God – E.L. Doctorow,288,2000
City Primeval – Elmore Leonard,275,1980
City Sister Silver – Jàchym Topol,512,1994
Clarissa – Samuel Richardson,1534,1748
Cloud Atlas – David Mitchell,509,2004
Cloudsplitter – Russell Banks,758,1998
Cocaine Nights – J.G. Ballard,336,1999
Cold Comfort Farm – Stella Gibbons,233,1932
"Come Back, Dr. Caligari – Donald Bartholme",184,1964
Coming Up for Air – George Orwell,288,1939
Complicity – Iain Banks,313,1993
Concrete – Thomas Bernhard,156,1982
Confederacy of Dunces – John Kennedy Toole,394,1980
Confessions – Jean-Jacques Rousseau,720,1782
Contact – Carl Sagan,580,1985
Correction – Thomas Bernhard,253,1975
Cranford – Elizabeth Gaskell,257,1853
Crash – J.G. Ballard,224,1973
Crime and Punishment – Fyodor Dostoevsky,704,1866
Crome Yellow – Aldous Huxley,176,1921
"Cry, the Beloved Country – Alan Paton",320,1948
Cryptonomicon – Neal Stephenson,1168,1999
Cutter and Bone – Newton Thornburg,320,1976
Dangerous Liaisons – Pierre Choderlos de Laclos,372,1782
Dangling Man – Saul Bellow,192,1944
Daniel Deronda – George Eliot,796,1876
Dark as the Grave Wherein My Friend is Laid – Malcolm Lowry,276,1968
David Copperfield – Charles Dickens,974,1850
Day of the Triffids – John Wyndham,228,1951
Dead Air – Iain Banks,408,2002
Dead Babies – Martin Amis,220,1975
Dead Souls – Nikolay Gogol,464,1842
Death in Venice – Thomas Mann,384,1912
Death Sentence – Maurice Blanchot,81,1948
Decline and Fall – Evelyn Waugh,224,1928
Delta of Venus – Anaïs Nin,271,1977
Diary of a Nobody – George & Weedon Grossmith,176,1892
Dictionary of the Khazars – Milorad Pavi?,352,1984
Dining on Stones – Iain Sinclair,464,2004
Dirk Gently’s Holistic Detective Agency – Douglas Adams,306,1987
Disappearance – David Dabydeen,180,1993
Disgrace – J.M. Coetzee,220,1999
Disobedience – Alberto Moravia,114,1948
Dispatches – Michael Herr,260,1977
Do Androids Dream of Electric Sheep? – Philip K. Dick,244,1968
Doctor Faustus – Thomas Mann,544,1947
Doctor Zhivago – Boris Pasternak,592,
Don Quixote – Miguel de Cervantes Saavedra,982,
Don’t Move – Margaret Mazzantini,368,
Downriver – Iain Sinclair,446,
Dracula – Bram Stoker,488,
Drop City – T. Coraghessan Boyle,512,
Drunkard – Émile Zola,480,
Dusklands – J.M. Coetzee,125,
Effi Briest – Theodore Fontane,272,
Elective Affinities – Johann Wolfgang von Goethe,272,
Elementary Particles – Michel Houellebecq,272,
Elizabeth Costello – J.M. Coetzee,231,
Embers – Sandor Marai,213,
"Émile; or, On Education – Jean-Jacques Rousseau",512,
Emma – Jane Austen,396,
Empire of the Sun – J.G. Ballard,352,
Enduring Love – Ian McEwan,96,
England Made Me – Graham Greene,208,
Enigma of Arrival – V.S. Naipaul,400,
Erewhon – Samuel Butler,272,
Ethan Frome – Edith Wharton,128,
Eugénie Grandet – Honoré de Balzac,200,
Euphues: The Anatomy of Wit – John Lyly,548,
Eva Trout – Elizabeth Bowen,320,
Evelina – Fanny Burney,455,
Everything is Illuminated – Jonathan Safran Foer,276,
Everything That Rises Must Converge – Flannery O’Connor,269,
Everything You Need – A.L. Kennedy,560,
Exercises in Style – Raymond Queneau,204,
Extinction – Thomas Bernhard,335,
Eyeless in Gaza – Aldous Huxley,528,
Faces in the Water – Janet Frame,254,
Family Matters – Rohinton Mistry,448,
Fanny Hill – John Cleland,227,
Fantômas – Marcel Allain and Pierre Souvestre,240,
Far from the Madding Crowd – Thomas Hardy,480,
Farewell My Lovely – Raymond Chandler,292,
Fateless – Imre Kertész,262,
Fathers and Sons – Ivan Turgenev,244,
Fear and Loathing in Las Vegas – Hunter S. Thompson,204,
Fear and Trembling – Amélie Nothomb,187,
Fear of Flying – Erica Jong,480,
Felicia’s Journey – William Trevor,240,
Ficciones – Jorge Luis Borges,180,
Fingersmith – Sarah Waters,548,
Finnegans Wake – James Joyce,628,
Flaubert’s Parrot – Julian Barnes,190,
Foe – J.M. Coetzee,157,
Fools of Fortune – William Trevor,224,
For Whom the Bell Tolls – Ernest Hemingway,180,
Forever a Stranger – Hella Haasse,127,
Fortunata and Jacinta – Benito Pérez Galdés,848,
Foucault’s Pendulum – Umberto Eco,623,
Foundation – Isaac Asimov,679,
Frankenstein – Mary Wollstonecraft Shelley,273,
Franny and Zooey – J.D. Salinger,201,
Fruits of the Earth – André Gide,246,
Fugitive Pieces – Anne Michaels,304,
Fury – Salman Rushdie,259,
G – John Berger,336,
Gabriel’s Gift – Hanif Kureishi,224,
Gargantua and Pantagruel – Françoise Rabelais,1041,
Germinal – Émile Zola,592,
Get Shorty – Elmore Leonard,384,
Giles Goat-Boy – John Barth,748,
Giovanni’s Room – James Baldwin,169,
Girl With Green Eyes – Edna O’Brien,216,
Glamorama – Bret Easton Ellis,560,
"Go Down, Moses – William Faulkner",365,
Go Tell It on the Mountain – James Baldwin,256,
Goalie’s Anxiety at the Penalty Kick – Peter Handke,144,
"God Bless You, Mr. Rosewater – Kurt Vonnegut",288,
Gone With the Wind – Margaret Mitchell,1011,
"Good Morning, Midnight – Jean Rhys",159,
Goodbye to Berlin – Christopher Isherwood,208,
Gormenghast – Mervyn Peake,512,
Gösta Berling’s Saga – Selma Lagerlöf,368,
Gravity’s Rainbow – Thomas Pynchon,776,
Great Apes – Will Self,416,
Great Expectations – Charles Dickens,505,
Grimus – Salman Rushdie,320,
Group Portrait With Lady – Heinrich Böll,416,
Growth of the Soil – Knut Hamsen,448,
Gulliver’s Travels – Jonathan Swift,306,
Hadrian the Seventh – Frederick Rolfe,424,
Hallucinating Foucault – Patricia Duncker,192,
Hangover Square – Patrick Hamilton,280,
Hard Times – Charles Dickens,353,
Harriet Hume – Rebecca West,288,
Hawksmoor – Peter Ackroyd,224,
He Knew He Was Right – Anthony Trollope,992,
Heart of Darkness – Joseph Conrad,200,
Hebdomeros – Giorgio de Chirico,280,
Henderson the Rain King – Saul Bellow,352,
Her Privates We – Frederic Manning,288,
Herzog – Saul Bellow,371,
Hideous Kinky – Esther Freud,192,
High Rise – J.G. Ballard,173,
Homo Faber – Max Frisch,228,
House Mother Normal – B.S. Johnson,208,
House of Leaves – Mark Z. Danielewski,709,
How It Is – Samuel Beckett,147,
"How Late It Was, How Late – James Kelman",373,
How the Dead Live – Will Self,404,
Howards End – E.M. Forster,256,
Humboldt’s Gift – Saul Bellow,487,
Humphrey Clinker – Tobias George Smollett,414,
Hunger – Knut Hamsun,144,
Hyperion – Friedrich Hölderlin,482,
I Know Why the Caged Bird Sings – Maya Angelou,246,
"I, Robot – Isaac Asimov",225,
I’m Not Stiller – Max Frisch,377,
"If Not Now, When? – Primo Levi",328,
If On a Winter’s Night a Traveler – Italo Calvino,260,
If This Is a Man – Primo Levi,398,
Ignorance – Milan Kundera,208,
Impressions of Africa – Raymond Roussel,317,
In A Free State – V.S. Naipaul,256,
In a Glass Darkly – Sheridan Le Fanu,384,
In Cold Blood – Truman Capote,343,
In Parenthesis – David Jones,232,
In Sicily – Elio Vittorini,192,
In the Forest – Edna O’Brien,217,
In the Heart of the Country – J.M. Coetzee,160,
In Watermelon Sugar – Richard Brautigan,144,
Independent People – Halldór Laxness,482,
Indigo – Marina Warner,384,
Infinite Jest – David Foster Wallace,1079,
Inside Mr. Enderby – Anthony Burgess,207,
Interview With the Vampire – Anne Rice,342,
Intimacy – Hanif Kureishi,160,
Invisible Cities – Italo Calvino,127,
Invisible Man – Ralph Ellison,581,
Islands – Dan Sleigh,768,
Ivanhoe – Sir Walter Scott,544,
Jack Maggs – Peter Carey,306,
Jacob’s Room – Virginia Woolf,324,
Jacques the Fatalist – Denis Diderot,304,
Jahrestage – Uwe Johnson,1703,
Jane Eyre – Charlotte Brontë,507,
Jazz – Toni Morrison,229,
Jealousy – Alain Robbe-Grillet,150,
Joseph Andrews – Henry Fielding,352,
Journey to the Centre of the Earth – Jules Verne,240,
Journey to the End of the Night – Louis-Ferdinand Céline,505,
Jude the Obscure – Thomas Hardy,336,
"Julie; or, the New Eloise – Jean-Jacques Rousseau",610,
July’s People – Nadine Gordimer,160,
Junkie – William Burroughs,208,
Justine – Lawrence Durrell,256,
Justine – Marquis de Sade,378,
Kafka on the Shore – Haruki Murakami,467,
Keep the Aspidistra Flying – George Orwell,277,
Kidnapped – Robert Louis Stevenson,288,
Kim – Rudyard Kipling,368,
King Lear of the Steppes – Ivan Turgenev,334,
King Solomon’s Mines – H. Rider Haggard,304,
Kingdom of This World – Alejo Carpentier,186,
Kokoro – Natsume Soseki,248,
La Bête Humaine – Émile Zola,502,
La Brava – Elmore Leonard,288,
La Reine Margot – Alexandre Dumas,542,
Labyrinths – Jorg Luis Borges,251,
Lady Chatterley’s Lover – D.H. Lawrence,400,
Lanark: A Life in Four Books – Alasdair Gray,560,
Land – Park Kyong-ni,256,
Last of the Mohicans – James Fenimore Cooper,420,
Le Père Goriot – Honoré de Balzac,370,
Legend – David Gemmell,345,
Les Enfants Terribles – Jean Cocteau,177,
Les Misérables – Victor Hugo,1463,
Less Than Zero – Bret Easton Ellis,195,
Libra – Don DeLillo,480,
Life and Death of Harriett Frean – May Sinclair,159,
Life is a Caravanserai – Emine Özdamar,462,
Life of Pi – Yann Martel,356,
Life: A User’s Manual – Georges Perec,581,
Like Life – Lorrie Moore,192,
Like Water for Chocolate – Laura Esquivel,224,
Little Women – Louisa May Alcott,449,
Living – Henry Green,201,
Locus Solus – Raymond Roussel,256,
Lolita – Vladimir Nabokov,326,
London Fields – Martin Amis,470,
London Orbital – Iain Sinclair,592,
"Look Homeward, Angel – Thomas Wolfe",544,
Looking for the Possible Dance – A.L. Kennedy,256,
Lord Jim – Joseph Conrad,455,
Lord of the Flies – William Golding,182,
Lost Illusions – Honoré de Balzac,656,
Lost Language of Cranes – David Leavitt,352,
Love in a Cold Climate – Nancy Mitford,249,
Love in Excess – Eliza Haywood,297,
Love in the Time of Cholera – Gabriel García Márquez,348,
Love’s Work – Gillian Rose,152,
Loving – Henry Green,206,
Lucky Jim – Kingsley Amis,272,
Madame Bovary – Gustave Flaubert,358,
Main Street – Sinclair Lewis,448,
Maldoror – Comte de Lautréaumont,342,
Malone Dies – Samuel Beckett,256,
Manhattan Transfer – John Dos Passos,352,
Manon des Sources – Marcel Pagnol,287,
Mansfield Park – Jane Austen,507,
Mao II – Don DeLillo,241,
Marius the Epicurean – Walter Pater,320,
Martin Chuzzlewit – Charles Dickens,829,
Martin Eden – Jack London,480,
Mary Barton – Elizabeth Gaskell,437,
Marya – Joyce Carol Oates,320,
Mason & Dixon – Thomas Pynchon,784,
Matigari – Ngugi Wa Thiong’o,158,
Max Havelaar – Multatuli,352,
Melmoth the Wanderer – Charles Robert Maturin,704,
Memento Mori – Muriel Spark,224,
Memoirs of a Geisha – Arthur Golden,434,
Memoirs of Hadrian – Marguerite Yourcenar,347,
"Memoirs of Martinus Scriblerus – J. Arbuthnot, J. Gay, T. Parnell, A. Pope, J. Swift",432,
Mercier et Camier – Samuel Beckett,128,
Metamorphoses – Ovid,723,
Middlemarch – George Eliot,853,
Middlesex – Jeffrey Eugenides,529,
Midnight’s Children – Salman Rushdie,463,
Miss Lonelyhearts – Nathanael West,208,
Miss Pettigrew Lives for a Day – Winifred Watson,234,
Moby-Dick – Herman Melville,625,
Moll Flanders – Daniel Defoe,376,
Molloy – Samuel Beckett,256,
Money: A Suicide Note – Martin Amis,394,
Moon Palace – Paul Auster,320,
Morvern Callar – Alan Warner,256,
Mother – Maxim Gorky,285,
Mr. Vertigo – Paul Auster,293,
Mrs. ‘Arris Goes to Paris – Paul Gallico,157,
Mrs. Dalloway – Virginia Woolf,216,
Murder Must Advertise – Dorothy L. Sayers,368,
Murphy – Samuel Beckett,288,
Myra Breckinridge – Gore Vidal,264,
Nadja – André Breton,189,
Naked Lunch – William Burroughs,289,
Nana – Émile Zola,473,
Native Son – Richard Wright,462,
Nausea – Jean-Paul Sartre,178,
Nervous Conditions – Tsitsi Dangarembga,256,
Neuromancer – William Gibson,271,
Never Let Me Go – Kazuo Ishiguro,304,
New Grub Street – George Gissing,560,
News from Nowhere – William Morris,430,
Night and Day – Virginia Woolf,636,
Nights at the Circus – Angela Carter,295,
Nightwood – Djuna Barnes,182,
Nineteen Eighty-Four – George Orwell,339,
Nineteen Seventy Seven – David Peace,341,
No Laughing Matter – Angus Wilson,336,
North and South – Elizabeth Gaskell,451,
Northanger Abbey – Jane Austen,251,
Nostromo – Joseph Conrad,336,
Notes from the Underground – Fyodor Dostoevsky,233,
Novel With Cocaine – M. Ageyev,204,
Nowhere Man – Aleksandar Hemon,256,
Oblomovka – Ivan Goncharov,443,
Of Human Bondage – William Somerset Maugham,704,
Of Mice and Men – John Steinbeck,107,
Old Masters – Thomas Bernhard,160,
Oliver Twist – Charles Dickens,554,
On Beauty – Zadie Smith,450,
On Love – Alain de Botton,194,
On the Black Hill – Bruce Chatwin,272,
On the Eve – Ivan Turgenev,180,
On the Road – Jack Kerouac,307,
One Day in the Life of Ivan Denisovich – Aleksandr Isayevich Solzhenitsyn,182,
One Flew Over the Cuckoo’s Nest – Ken Kesey,325,
One Hundred Years of Solitude - Gabriel García Márquez,432,
"One, None and a Hundred Thousand – Luigi Pirandello",268,
Operation Shylock – Philip Roth,398,
Oranges Are Not the Only Fruit – Jeanette Winterson,176,
Orlando – Virginia Woolf,336,
Ormond – Maria Edgeworth,384,
Oroonoko – Aphra Behn,144,
Oscar and Lucinda – Peter Carey,515,
Our Ancestors – Italo Calvino,388,
Our Mutual Friend – Charles Dickens,801,
Out of Africa – Isak Dineson (Karen Blixen),399,
Pale Fire – Vladimir Nabokov,272,
Pamela – Samuel Richardson,544,
Parade’s End – Ford Madox Ford,488,
Party Going – Henry Green,157,
Passing – Nella Larsen,160,
Pastoralia – George Saunders,208,
Patterns of Childhood – Christa Wolf,407,
Peregrine Pickle – Tobias George Smollett,588,
Pereira Declares: A Testimony – Antonio Tabucchi,182,
Perfume – Patrick Süskind,272,
Persuasion – Jane Austen,308,
Petals of Blood – Ngugi Wa Thiong’o,432,
Phineas Finn – Anthony Trollope,752,
Pierre and Jean – Guy de Maupassant,134,
Pilgrimage – Dorothy Richardson,1812,
Platform – Michael Houellebecq,272,
Pluck the Bud and Destroy the Offspring – Kenzaburo Oe,189,
Pnin – Vladimir Nabokov,143,
Portnoy’s Complaint – Philip Roth,274,
Possessing the Secret of Joy – Alice Walker,304,
Possession – A.S. Byatt,555,
Pricksongs and Descants – Robert Coover,256,
Pride and Prejudice – Jane Austen,320,
Professor Unrat – Heinrich Mann,185,
Promise at Dawn – Romain Gary,348,
Quartet – Jean Rhys,192,
Queer – William Burroughs,160,
Quicksand – Nella Larsen,192,
Quo Vadis – Henryk Sienkiewicz,589,
Rabbit is Rich – John Updike,480,
Rabbit Redux – John Updike,448,
"Rabbit, Run – John Updike",264,
Ragtime – E.L. Doctorow,336,
Rameau’s Nephew – Denis Diderot,438,
Rashomon – Akutagawa Ryunosuke,160,
Rasselas – Samuel Johnson,224,
Ratner’s Star – Don DeLillo,438,
Reasons to Live – Amy Hempel,144,
Rebecca – Daphne du Maurier,448,
Red Harvest – Dashiell Hammett,224,
Regeneration – Pat Barker,256,
Remains of the Day – Kazuo Ishiguro,258,
Remembrance of Things Past – Marcel Proust,3000,
Return of the Native – Thomas Hardy,448,
Reveries of a Solitary Walker – Jean-Jacques Rousseau,160,
Rites of Passage – William Golding,278,
Rituals – Cees Nooteboom,160,
Rob Roy – Sir Walter Scott,501,
Robinson Crusoe – Daniel Defoe,320,
Roderick Random – Tobias George Smollett,476,
Rosshalde – Herman Hesse,217,
Roxana – Daniel Defoe,400,
Sabbath’s Theater – Philip Roth,451,
Saturday – Ian McEwan,289,
Saturday Night and Sunday Morning – Alan Sillitoe,256,
Schindler’s Ark – Thomas Keneally,398,
Schooling – Heather McGowan,320,
Seize the Day – Saul Bellow,144,
Self Condemned – Wyndham Lewis,436,
Señor Vivo and the Coca Lord – Louis de Bernieres,352,
Sense and Sensibility – Jane Austen,409,
Sentimental Education – Gustave Flaubert,432,
Sexing the Cherry – Jeanette Winterson,167,
Shame – Salman Rushdie,287,
She – H. Rider Haggard,317,
Shikasta – Doris Lessing,365,
Shirley – Charlotte Brontë,624,
Shroud – John Banville,272,
Siddhartha – Herman Hesse,152,
Silas Marner – George Eliot,288,
Silk – Alessandro Baricco,91,
Sister Carrie – Theodore Dreiser,580,
"Slaughterhouse-five – Kurt Vonnegut, Jr.",275,
Slow Man – J.M. Coetzee,240,
Small Remedies – Shashi Deshpande,324,
Smiley’s People – John Le Carré,397,
Smilla’s Sense of Snow – Peter Høeg,469,
Solaris – Stanislaw Lem,224,
Some Experiences of an Irish R.M. – Somerville and Ross,288,
Sometimes a Great Notion – Ken Kesey,640,
Song of Solomon – Toni Morrison,337,
Sons and Lovers – D.H. Lawrence,654,
"Spring Flowers, Spring Frost – Ismail Kadare",192,
Spring Torrents – Ivan Turgenev,240,
Sputnik Sweetheart – Haruki Murakami,229,
Steppenwolf – Herman Hesse,256,
Stone Junction – Jim Dodge,384,
Story of the Eye – Georges Bataille,103,
Strait is the Gate – André Gide,112,
Stranger in a Strange Land – Robert Heinlein,528,
Sula – Toni Morrison,192,
Summer – Edith Wharton,869,
Summer in Baden-Baden – Leonid Tsypkin,176,
Summer Will Show – Sylvia Townsend Warner,406,
Super-Cannes – J.G. Ballard,400,
Surfacing – Margaret Atwood,199,
Tarka the Otter – Henry Williamson,279,
Tarr – Wyndham Lewis,350,
Tarzan of the Apes – Edgar Rice Burroughs,324,
Tender is the Night – F. Scott Fitzgerald,315,
Tent of Miracles – Jorge Amado,396,
Tess of the D’Urbervilles – Thomas Hardy,592,
Testament of Youth – Vera Brittain,688,
"Thank You, Jeeves – P.G. Wodehouse",263,
That They May Face the Rising Sun – John McGahern,304,
The 120 Days of Sodom – Marquis de Sade,376,
The 13 Clocks – James Thurber,128,
The Abbot C – Georges Bataille,158,
The Absentee – Maria Edgeworth,320,
The Adventures of Augie March – Saul Bellow,586,
The Adventures of Caleb Williams – William Godwin,448,
The Adventures of Huckleberry Finn – Mark Twain,368,
The Adventures of Sherlock Holmes – Sir Arthur Conan Doyle,448,
The Afternoon of a Writer – Peter Handke,96,
The Age of Innocence – Edith Wharton,305,
The Albigenses – Charles Robert Maturin,268,
The Ambassadors – Henry James,528,
The Apes of God – Wyndham Lewis,639,
The Artamonov Business – Maxim Gorky,344,
The Atrocity Exhibition – J.G. Ballard,136,
The Autobiography of Alice B. Toklas – Gertrude Stein,256,
The Awakening – Kate Chopin,195,
The Beautiful Room is Empty – Edmund White,240,
The Bell – Iris Murdoch,320,
The Bell Jar – Sylvia Plath,244,
The Betrothed – Alessandro Manzoni,720,
The Big Sleep – Raymond Chandler,264,
The Birds Fall Down – Rebecca West,448,
The Bitter Glass – Eilís Dillon,220,
The Black Dahlia – James Ellroy,337,
The Black Prince – Iris Murdoch,444,
The Blind Assassin – Margaret Atwood,637,
The Blithedale Romance – Nathaniel Hawthorne,204,
The Bluest Eye – Toni Morrison,216,
The Body Artist – Don DeLillo,128,
The Bonfire of the Vanities – Tom Wolfe,656,
The Book of Daniel – E.L. Doctorow,320,
The Book of Evidence – John Banville,224,
The Book of Illusions – Paul Auster,288,
The Book of Laughter and Forgetting – Milan Kundera,313,
The Breast – Philip Roth,89,
The Bridge on the Drina – Ivo Andric,318,
The Brothers Karamazov – Fyodor Dostoevsky,776,
The Buddha of Suburbia – Hanif Kureishi,288,
The Bus Conductor Hines – James Kelman,237,
The Butcher Boy – Patrick McCabe,240,
The Case of Comrade Tulayev – Victor Serge,400,
The Castle – Franz Kafka,352,
The Castle of Crossed Destinies – Italo Calvino,144,
The Castle of Otranto – Horace Walpole,125,
The Catcher in the Rye – J.D. Salinger,277,
The Cement Garden – Ian McEwan,144,
The Charterhouse of Parma – Stendhal,560,
The Charwoman’s Daughter – James Stephens,132,
The Child in Time – Ian McEwan,263,
The Childermass – Wyndham Lewis,401,
The Cider House Rules – John Irving,973,
The Clay Machine-Gun – Victor Pelevin,336,
The Collector – John Fowles,282,
The Color Purple – Alice Walker,295,
The Colour – Rose Tremain,382,
The Comfort of Strangers – Ian McEwan,128,
The Corrections – Jonathan Franzen,653,
The Count of Monte-Cristo – Alexandre Dumas,1243,
The Counterfeiters – André Gide,467,
The Country Girls – Edna O’Brien,175,
The Crow Road – Iain Banks,502,
The Crying of Lot 49 – Thomas Pynchon,192,
The Cubs and Other Stories – Mario Vargas Llosa,159,
The Curious Incident of the Dog in the Night-Time – Mark Haddon,226,
The Dead Father – Donald Barthelme,192,
The Death of Ivan Ilyich – Leo Tolstoy,88,
The Devil and Miss Prym – Paulo Coelho,224,
The Devil in the Flesh – Raymond Radiguet,128,
The Devils – Fyodor Dostoevsky,733,
The Diary of Jane Somers – Doris Lessing,502,
The Discovery of Heaven – Harry Mulisch,730,
The Double – José Saramago,324,
The Driver’s Seat – Muriel Spark,128,
The Drowned and the Saved – Primo Levi,203,
The Drowned World – J.G. Ballard,176,
The Electric Kool-Aid Acid Test – Tom Wolfe,416,
The Emigrants – W.G. Sebald,237,
The Enchanted Wanderer – Nicolai Leskov,320,
The End of the Affair – Graham Greene,160,
The End of the Road – John Barth,198,
The End of the Story – Lydia Davis,240,
The English Patient – Michael Ondaatje,320,
The Enormous Room – E.E. Cummings,304,
The Fall of the House of Usher – Edgar Allan Poe,36,
